DNI
Date,DNI
2022-01-01 00:00:00,-0.991
2022-01-01 00:15:00,-1.0
2022-01-01 00:30:00,-0.996
2022-01-01 00:45:00,-0.989
2022-01-01 01:00:00,-0.976
2022-01-01 01:15:00,-1.0
2022-01-01 01:30:00,-0.9765
2022-01-01 01:45:00,-0.929
2022-01-01 02:00:00,-0.893
2022-01-01 02:15:00,-0.993
2022-01-01 02:30:00,-0.8275
2022-01-01 02:45:00,-0.996
2022-01-01 03:00:00,-0.7424999999999999
2022-01-01 03:15:00,-0.978
2022-01-01 03:30:00,-0.9855
2022-01-01 03:45:00,-0.997
2022-01-01 04:00:00,-0.9795
2022-01-01 04:15:00,-0.993
2022-01-01 04:30:00,-0.9985
2022-01-01 04:45:00,-0.999
2022-01-01 05:00:00,-0.9925
2022-01-01 05:15:00,-0.979
2022-01-01 05:30:00,-0.9675
2022-01-01 05:45:00,-0.923
2022-01-01 06:00:00,-0.909
2022-01-01 06:15:00,-1.0
2022-01-01 06:30:00,-0.972
2022-01-01 06:45:00,-0.922
2022-01-01 07:00:00,-0.712
2022-01-01 07:15:00,1.322
2022-01-01 07:30:00,8.404
2022-01-01 07:45:00,32.652
2022-01-01 08:00:00,56.4035
2022-01-01 08:15:00,83.244
2022-01-01 08:30:00,113.1445
2022-01-01 08:45:00,143.299
2022-01-01 09:00:00,169.731
2022-01-01 09:15:00,196.399
2022-01-01 09:30:00,209.2525
2022-01-01 09:45:00,227.754
2022-01-01 10:00:00,256.968
2022-01-01 10:15:00,277.922
2022-01-01 10:30:00,290.991
2022-01-01 10:45:00,299.768
2022-01-01 11:00:00,305.369
2022-01-01 11:15:00,295.391
2022-01-01 11:30:00,308.16
2022-01-01 11:45:00,293.417
2022-01-01 12:00:00,255.6965
2022-01-01 12:15:00,260.279
2022-01-01 12:30:00,272.72450000000003
2022-01-01 12:45:00,248.227
2022-01-01 13:00:00,245.96500000000003
2022-01-01 13:15:00,218.774
2022-01-01 13:30:00,224.0855
2022-01-01 13:45:00,176.313
2022-01-01 14:00:00,135.505
2022-01-01 14:15:00,140.026
2022-01-01 14:30:00,99.742
2022-01-01 14:45:00,80.785
2022-01-01 15:00:00,60.8015
2022-01-01 15:15:00,34.01
2022-01-01 15:30:00,11.605
2022-01-01 15:45:00,1.399
2022-01-01 16:00:00,-0.688
2022-01-01 16:15:00,-0.996
2022-01-01 16:30:00,-0.9995
2022-01-01 16:45:00,-1.0
2022-01-01 17:00:00,-1.0
2022-01-01 17:15:00,-0.984
2022-01-01 17:30:00,-0.999
2022-01-01 17:45:00,-0.996
2022-01-01 18:00:00,-1.0
2022-01-01 18:15:00,-1.0
2022-01-01 18:30:00,-0.9915
2022-01-01 18:45:00,-0.949
2022-01-01 19:00:00,-0.944
2022-01-01 19:15:00,-0.928
2022-01-01 19:30:00,-0.955
2022-01-01 19:45:00,-0.938
2022-01-01 20:00:00,-0.988
2022-01-01 20:15:00,-0.962
2022-01-01 20:30:00,-0.973
2022-01-01 20:45:00,-0.948
2022-01-01 21:00:00,-0.945
2022-01-01 21:15:00,-0.944
2022-01-01 21:30:00,-0.948
2022-01-01 21:45:00,-0.988
2022-01-01 22:00:00,-0.982
2022-01-01 22:15:00,-0.956
2022-01-01 22:30:00,-0.951
2022-01-01 22:45:00,-1.0
2022-01-01 23:00:00,-0.903
2022-01-01 23:15:00,-0.992
2022-01-01 23:30:00,-0.9975
2022-01-01 23:45:00,-1.0
2022-01-02 00:00:00,-0.9845
2022-01-02 00:15:00,-0.993
2022-01-02 00:30:00,-0.994
2022-01-02 00:45:00,-0.986
2022-01-02 01:00:00,-0.9655
2022-01-02 01:15:00,-0.963
2022-01-02 01:30:00,-0.997
2022-01-02 01:45:00,-0.988
2022-01-02 02:00:00,-0.9995
2022-01-02 02:15:00,-0.993
2022-01-02 02:30:00,-0.964
2022-01-02 02:45:00,-0.929
2022-01-02 03:00:00,-0.948
2022-01-02 03:15:00,-0.898
2022-01-02 03:30:00,-0.671
2022-01-02 03:45:00,-0.725
2022-01-02 04:00:00,-0.634
2022-01-02 04:15:00,-0.809
2022-01-02 04:30:00,-0.886
2022-01-02 04:45:00,-0.827
2022-01-02 05:00:00,-0.8175
2022-01-02 05:15:00,-0.995
2022-01-02 05:30:00,-0.9395
2022-01-02 05:45:00,-0.491
2022-01-02 06:00:00,-0.8205
2022-01-02 06:15:00,-0.532
2022-01-02 06:30:00,-0.642
2022-01-02 06:45:00,-0.763
2022-01-02 07:00:00,-0.7649999999999999
2022-01-02 07:15:00,2.174
2022-01-02 07:30:00,8.835
2022-01-02 07:45:00,14.733
2022-01-02 08:00:00,33.7075
2022-01-02 08:15:00,73.323
2022-01-02 08:30:00,90.266
2022-01-02 08:45:00,134.681
2022-01-02 09:00:00,94.366
2022-01-02 09:15:00,43.692
2022-01-02 09:30:00,52.47
2022-01-02 09:45:00,31.414
2022-01-02 10:00:00,64.277
2022-01-02 10:15:00,47.726
2022-01-02 10:30:00,40.3225
2022-01-02 10:45:00,37.105
2022-01-02 11:00:00,23.962
2022-01-02 11:15:00,16.704
2022-01-02 11:30:00,31.8395
2022-01-02 11:45:00,61.253
2022-01-02 12:00:00,95.139
2022-01-02 12:15:00,91.354
2022-01-02 12:30:00,73.98949999999999
2022-01-02 12:45:00,211.877
2022-01-02 13:00:00,158.6415
2022-01-02 13:15:00,235.57
2022-01-02 13:30:00,191.4885
2022-01-02 13:45:00,136.288
2022-01-02 14:00:00,103.0275
2022-01-02 14:15:00,118.981
2022-01-02 14:30:00,52.334500000000006
2022-01-02 14:45:00,24.155
2022-01-02 15:00:00,29.552
2022-01-02 15:15:00,15.905
2022-01-02 15:30:00,5.114
2022-01-02 15:45:00,0.191
2022-01-02 16:00:00,-0.8785000000000001
2022-01-02 16:15:00,-0.977
2022-01-02 16:30:00,-0.9845
2022-01-02 16:45:00,-1.0
2022-01-02 17:00:00,-1.0
2022-01-02 17:15:00,-1.0
2022-01-02 17:30:00,-1.0
2022-01-02 17:45:00,-0.979
2022-01-02 18:00:00,-0.9995
2022-01-02 18:15:00,-1.0
2022-01-02 18:30:00,-0.925
2022-01-02 18:45:00,-0.6
2022-01-02 19:00:00,-0.2775
2022-01-02 19:15:00,-0.824
2022-01-02 19:30:00,0.062
2022-01-02 19:45:00,-0.937
2022-01-02 20:00:00,-0.4679999999999999
2022-01-02 20:15:00,-0.079
2022-01-02 20:30:00,-0.2175
2022-01-02 20:45:00,-0.921
2022-01-02 21:00:00,-0.9225
2022-01-02 21:15:00,-0.927
2022-01-02 21:30:00,-0.3425
2022-01-02 21:45:00,-0.874
2022-01-02 22:00:00,-0.2525
2022-01-02 22:15:00,-0.939
2022-01-02 22:30:00,-0.952
2022-01-02 22:45:00,-0.959
2022-01-02 23:00:00,-0.239
2022-01-02 23:15:00,-0.267
2022-01-02 23:30:00,-0.9415
2022-01-02 23:45:00,-0.914
2022-01-03 00:00:00,-0.904
2022-01-03 00:15:00,-0.996
2022-01-03 00:30:00,-0.7789999999999999
2022-01-03 00:45:00,-0.938
2022-01-03 01:00:00,-0.3715
2022-01-03 01:15:00,-0.938
2022-01-03 01:30:00,-0.3775
2022-01-03 01:45:00,-0.952
2022-01-03 02:00:00,-0.857
2022-01-03 02:15:00,-0.56
2022-01-03 02:30:00,-0.428
2022-01-03 02:45:00,-0.989
2022-01-03 03:00:00,-0.8140000000000001
2022-01-03 03:15:00,-0.987
2022-01-03 03:30:00,-0.6679999999999999
